author,name,url,description,language,spoken_language,stars
datguypiko,Firefox-Mod-Blur,https://github.com/datguypiko/Firefox-Mod-Blur,Firefox Theme - For dark theme lovers / More compact / Modular / Blur,CSS,English,1053
kepano,obsidian-minimal,https://github.com/kepano/obsidian-minimal,A distraction-free and highly customizable theme for Obsidian.,CSS,English,3398
septiandwica,kado,https://github.com/septiandwica/kado,flower,CSS,English,246
rafaelmardojai,firefox-gnome-theme,https://github.com/rafaelmardojai/firefox-gnome-theme,A GNOME👣 theme for Firefox🔥,CSS,English,3248
AnubisNekhet,AnuPpuccin,https://github.com/AnubisNekhet/AnuPpuccin,Personal theme for Obsidian,CSS,English,1845
amyyalex,simple-contribution,https://github.com/amyyalex/simple-contribution,This is a very simple project to help first-time contributors to easily participate in an open-source project.,CSS,English,56
ryanoasis,nerd-fonts,https://github.com/ryanoasis/nerd-fonts,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",CSS,English,51891
spicetify,spicetify-themes,https://github.com/spicetify/spicetify-themes,A community-driven collection of themes for customizing Spotify through Spicetify - https://github.com/spicetify/cli,CSS,English,4747
yaoyao-liu,minimal-light,https://github.com/yaoyao-liu/minimal-light,A simple and elegant Jekyll theme for an academic personal homepage,CSS,English,508
GuangLun2000,GuangLun2000.github.io,https://github.com/GuangLun2000/GuangLun2000.github.io,"(Minimalism Style) Powered by Jekyll, based on the Minimal Mistakes theme and Jason Ansel's website",CSS,English,419
ferdium,ferdium-recipes,https://github.com/ferdium/ferdium-recipes,Recipes encapsulate your favourite apps into Ferdium for unified notifications handling and more,CSS,English,70
adobe,spectrum-css,https://github.com/adobe/spectrum-css,The standard CSS implementation of the Spectrum design language.,CSS,English,1158
Concept-Collective,cc-chat,https://github.com/Concept-Collective/cc-chat,A chat theme for FiveM & RedM,CSS,English,65
efemkay,obsidian-modular-css-layout,https://github.com/efemkay/obsidian-modular-css-layout,CSS Layout hack for Obsidian.md,CSS,English,799
primefaces,sakai-vue,https://github.com/primefaces/sakai-vue,,CSS,English,436
tiann,KernelSU,https://github.com/tiann/KernelSU,A Kernel based root solution for Android,Kotlin,English,8544
android,nowinandroid,https://github.com/android/nowinandroid,A fully functional Android app built entirely with Kotlin and Jetpack Compose,Kotlin,English,15571
yairm210,Unciv,https://github.com/yairm210/Unciv,Open-source Android/Desktop remake of Civ V,Kotlin,English,7820
YiiGuxing,TranslationPlugin,https://github.com/YiiGuxing/TranslationPlugin,Translation plugin for IntelliJ based IDEs/Android Studio.,Kotlin,English,10967
skydoves,chatgpt-android,https://github.com/skydoves/chatgpt-android,📲 ChatGPT Android demonstrates a Chatbot application using OpenAI's chat API on Android with Stream Chat SDK for Compose.,Kotlin,English,3561
celzero,rethink-app,https://github.com/celzero/rethink-app,"DNS over HTTPS / DNS over Tor / DNSCrypt client, WireGuard proxifier, firewall, and connection tracker for Android.",Kotlin,English,2483
chenxiaolong,BCR,https://github.com/chenxiaolong/BCR,A Basic Call Recorder for rooted Android devices,Kotlin,English,1432
libre-tube,LibreTube,https://github.com/libre-tube/LibreTube,"An alternative frontend for YouTube, for Android.",Kotlin,English,7845
pedroSG94,RootEncoder,https://github.com/pedroSG94/RootEncoder,"RootEncoder for Android (rtmp-rtsp-stream-client-java) is a stream encoder to push video/audio to media servers using protocols RTMP, RTSP, SRT and UDP with all code written in Java/Kotlin",Kotlin,English,2409
